Website URL,Email Threshold,Timeout Threshold (minutes),Results File
https://www.almazroui.com/business-activities/industrial-technology/mapco,10,2,
http://acsc.ae/,10,2,
http://www.dutco.com/,10,2,
https://www.laads.ae/,10,2,
http://www.al-hamad.com/,10,2,
https://copriconstructions.com/,10,2,
http://www.laingorourke.com/,10,2,
http://www.robtstone.com/,10,2,
http://www.hashim.ae/,10,2,
https://scbc.ae/authority-approvals-in-dubai/,10,2,
http://www.unec.co/,10,2,
http://www.almadar.co/,10,2,
http://www.dscdubai.com/,10,2,
http://www.ngulf.ae/,10,2,
http://www.orascom.com/,10,2,
http://www.tectonme.com/,10,2,
http://www.artsco.ae/,10,2,
http://powercon.ae/,10,2,
https://www.teemcouae.com/,10,2,
http://www.abajgroups.com/,10,2,
http://www.nisr.ae/,10,2,
http://www.rpgroup.ae/,10,2,
http://www.emirates-coast.ae/,10,2,
http://www.egyco-uae.com/,10,2,
http://www.perfotech.ae/,10,2,
http://www.alquozcontracting.com/,10,2,
https://gassantech.com/,10,2,
https://ndmetal.ae/,10,2,
http://alghayoum.ae/,10,2,
http://www.citygateuae.com/,10,2,
http://www.amanabuildings.com/,10,2,
http://www.adyardabudhabi.com/,10,2,
http://babcock.bilfinger.com/,10,2,
https://www.uptown.ae/,10,2,
http://www.discoverygroup.ae/,10,2,
http://admac.ae/,10,2,
http://www.dhafirtech.ae/,10,2,
http://infrastructure.alshirawi.com/,10,2,
http://www.airolinkgroup.com/,10,2,
http://earthcenter.ae/,10,2,
http://www.royaltechemw.com/,10,2,
http://www.strabag.com/,10,2,
http://www.denholm-yam.com/,10,2,
http://www.elmuae.com/,10,2,
https://630f0f9487a67.site123.me/,10,2,
http://www.biston.net/,10,2,
http://www.tekzoneme.com/,10,2,
http://www.convrgnt.com/,10,2,
http://www.tectonme.com/,10,2,
http://www.whitemetalco.com/,10,2,
http://www.gsenc.com/en/,10,2,
http://www.interspan.global/,10,2,
https://indexemirates.com/,10,2,
http://ccc-uae.com/,10,2,
http://buhumaidco.com/,10,2,
http://www.nadiasteel.com/,10,2,
http://freyssinet-me.com/,10,2,
http://www.afcons.com/,10,2,
https://rakprefabsllc.com/,10,2,
http://www.mapei.ae/,10,2,
http://www.portacabinrental.com/,10,2,
http://www.emiratessteel.com/,10,2,
http://www.uaecsd.com/,10,2,
https://www.catgroup.net/,10,2,
http://www.metacuae.com/,10,2,
http://www.dubaiprecast.ae/,10,2,
https://www.emtdubai.ae/,10,2,
http://dutcoconstruction.com/,10,2,
http://apexscaffoldinguae.com/,10,2,
https://www.abualigroup.ae/,10,2,
http://www.bemcuae.com/,10,2,
http://www.redseahousing.com/,10,2,
http://www.constech-uae.com/,10,2,
https://emirateshydroseal.com/,10,2,
https://www.contractorsuae.com/,10,2,
http://www.belmontemirates.com/,10,2,
https://ishwargroupuae.com/,10,2,
http://www.vetoroadcontracting.ae/,10,2,
https://utsuae.ae/,10,2,
https://casais.pt/en/,10,2,
http://www.designmotives.ae/,10,2,
https://floor2terrace.com/,10,2,
http://www.albazee.com/,10,2,
http://www.actionbuildersuae.com/,10,2,
https://www.shapoorjiproperties.com/,10,2,
https://rmc.ae/,10,2,
https://www.anaec.ae/,10,2,
http://www.instagram.com/alwahdasteel,10,2,
https://www.arabiancontainers.com/,10,2,
